"","id","taxon","kingdom","phylum","trait","broad_trait_group","specific_trait_group","trait_unit_SI","temperature","trait_value","citation"
"5488",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",8,0,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5489",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",11,0,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5490",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",15,1.15740740740741e-08,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5491",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",20,2.19907407407407e-08,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5492",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",25,2.89351851851852e-08,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5493",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",28,2.77777777777778e-08,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5494",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",30,2.66203703703704e-08,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5495",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",32,2.31481481481481e-08,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5496",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",35,5.78703703703704e-09,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"5497",39697,"Metarhizium anisopliae","Fungi","Ascomycota","Radial Growth Rate","emergent_process","population_growth_rate","meter / (individual * second)",37,0,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43."
"29532",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",16,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29533",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",16,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29534",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",16,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29535",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",16,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29536",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",18,6.11232e-07,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29537",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",18,7.91675e-07,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29538",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",18,6.4837e-07,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29539",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",18,6.40541e-07,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29540",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",20,1.44186e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29541",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",20,1.68908e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29542",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",20,1.37915e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29543",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",20,1.42577e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29544",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",22,1.8912e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29545",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",22,1.86227e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29546",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",22,2.26273e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29547",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",22,1.80208e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29548",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",24,3.11919e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29549",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",24,2.88729e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29550",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",24,2.84136e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29551",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",24,2.86644e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29552",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",28,3.38423e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29553",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",28,3.55192e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29554",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",28,3.13815e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29555",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",28,3.2789e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29556",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",30,3.09606e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29557",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",30,2.49421e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
