drug1name,drug2name,drug1num,drug2num,T,t,sample,OD
ERY,GEN,4.0,6.0,37.0,24.0,1.0,0.3683000076
ERY,GEN,4.0,6.0,37.0,24.0,2.0,0.4042999911
ERY,GEN,4.0,6.0,37.0,24.0,3.0,0.4238000083
ERY,GEN,4.0,6.0,37.0,24.0,4.0,0.4272000062
ERY,GEN,4.0,6.0,22.0,24.0,1.0,0.0048000010999999995
ERY,GEN,4.0,6.0,22.0,24.0,2.0,0.0050999987
ERY,GEN,4.0,6.0,22.0,24.0,3.0,0.0068000014
ERY,GEN,4.0,6.0,22.0,24.0,4.0,0.0068999994
ERY,GEN,4.0,6.0,41.0,24.0,1.0,0.3160000014
ERY,GEN,4.0,6.0,41.0,24.0,2.0,0.32779999260000003
ERY,GEN,4.0,6.0,41.0,24.0,3.0,0.3534999955
ERY,GEN,4.0,6.0,41.0,24.0,4.0,0.37330000280000003
ERY,GEN,4.0,6.0,25.0,24.0,1.0,0.0033000017999999997
ERY,GEN,4.0,6.0,25.0,24.0,2.0,0.0050000007
ERY,GEN,4.0,6.0,25.0,24.0,3.0,0.005599999699999999
ERY,GEN,4.0,6.0,25.0,24.0,4.0,0.007099999
ERY,GEN,4.0,6.0,46.0,24.0,1.0,0.0024000014000000003
ERY,GEN,4.0,6.0,46.0,24.0,2.0,0.0033999996999999997
ERY,GEN,4.0,6.0,46.0,24.0,3.0,0.0037000010999999997
ERY,GEN,4.0,6.0,46.0,24.0,4.0,0.0037999990999999997
ERY,GEN,4.0,6.0,44.0,24.0,1.0,0.0017000008
ERY,GEN,4.0,6.0,44.0,24.0,2.0,0.0017999987
ERY,GEN,4.0,6.0,44.0,24.0,3.0,0.0019000004000000001
ERY,GEN,4.0,6.0,44.0,24.0,4.0,0.0660000014
ERY,GEN,4.0,6.0,30.0,24.0,1.0,0.0041999984
ERY,GEN,4.0,6.0,30.0,24.0,2.0,0.0041999984
ERY,GEN,4.0,6.0,30.0,24.0,3.0,0.0116999987
ERY,GEN,4.0,6.0,30.0,24.0,4.0,0.12099999369999999
NTR,WT,8.0,13.0,37.0,24.0,1.0,0.6243999767
NTR,WT,8.0,13.0,37.0,24.0,2.0,0.6865000295999999
NTR,WT,8.0,13.0,37.0,24.0,3.0,0.7640000153000001
NTR,WT,8.0,13.0,37.0,24.0,4.0,0.7984000015
NTR,WT,8.0,13.0,22.0,24.0,1.0,0.013899998700000001
NTR,WT,8.0,13.0,22.0,24.0,2.0,0.0160999987
NTR,WT,8.0,13.0,22.0,24.0,3.0,0.0197
NTR,WT,8.0,13.0,22.0,24.0,4.0,0.0221000034
NTR,WT,8.0,13.0,41.0,24.0,1.0,0.6365999746000001
NTR,WT,8.0,13.0,41.0,24.0,2.0,0.7465999889
NTR,WT,8.0,13.0,41.0,24.0,3.0,0.7608999777
NTR,WT,8.0,13.0,41.0,24.0,4.0,0.7637999820999999
NTR,WT,8.0,13.0,25.0,24.0,1.0,0.1709000039
NTR,WT,8.0,13.0,25.0,24.0,2.0,0.18899999739999998
NTR,WT,8.0,13.0,25.0,24.0,3.0,0.19159999670000002
NTR,WT,8.0,13.0,25.0,24.0,4.0,0.20959998850000003
NTR,WT,8.0,13.0,46.0,24.0,1.0,0.0019000004000000001
NTR,WT,8.0,13.0,46.0,24.0,2.0,0.0022000018
NTR,WT,8.0,13.0,46.0,24.0,3.0,0.0022999997
NTR,WT,8.0,13.0,46.0,24.0,4.0,0.0032000001
NTR,WT,8.0,13.0,44.0,24.0,1.0,0.0010000001
NTR,WT,8.0,13.0,44.0,24.0,2.0,0.0017999987
NTR,WT,8.0,13.0,44.0,24.0,3.0,0.0022000018
NTR,WT,8.0,13.0,44.0,24.0,4.0,0.0022999997
NTR,WT,8.0,13.0,30.0,24.0,1.0,0.5140000153000001
NTR,WT,8.0,13.0,30.0,24.0,2.0,0.5187000203000001
NTR,WT,8.0,13.0,30.0,24.0,3.0,0.533700006
NTR,WT,8.0,13.0,30.0,24.0,4.0,0.549900012
ERY,NTR,4.0,8.0,37.0,24.0,1.0,0.3281000125
ERY,NTR,4.0,8.0,37.0,24.0,2.0,0.3608000147
ERY,NTR,4.0,8.0,37.0,24.0,3.0,0.36380000590000006
ERY,NTR,4.0,8.0,37.0,24.0,4.0,0.3985000122
ERY,NTR,4.0,8.0,22.0,24.0,1.0,0.0046999994
ERY,NTR,4.0,8.0,22.0,24.0,2.0,0.0048999991
ERY,NTR,4.0,8.0,22.0,24.0,3.0,0.006100000699999999
ERY,NTR,4.0,8.0,22.0,24.0,4.0,0.0068000014
ERY,NTR,4.0,8.0,41.0,24.0,1.0,0.0899000037
ERY,NTR,4.0,8.0,41.0,24.0,2.0,0.3352999854
ERY,NTR,4.0,8.0,41.0,24.0,3.0,0.3414000142
ERY,NTR,4.0,8.0,41.0,24.0,4.0,0.34730000969999997
ERY,NTR,4.0,8.0,25.0,24.0,1.0,0.0017000008
ERY,NTR,4.0,8.0,25.0,24.0,2.0,0.0028000008000000002
ERY,NTR,4.0,8.0,25.0,24.0,3.0,0.0028999987
ERY,NTR,4.0,8.0,25.0,24.0,4.0,0.0030000003999999998
ERY,NTR,4.0,8.0,46.0,24.0,1.0,0.0022000018
ERY,NTR,4.0,8.0,46.0,24.0,2.0,0.0026999991
ERY,NTR,4.0,8.0,46.0,24.0,3.0,0.0030000003999999998
ERY,NTR,4.0,8.0,46.0,24.0,4.0,0.0054000001
ERY,NTR,4.0,8.0,44.0,24.0,1.0,0.0017000008
ERY,NTR,4.0,8.0,44.0,24.0,2.0,0.0017999987
ERY,NTR,4.0,8.0,44.0,24.0,3.0,0.0019000004000000001
ERY,NTR,4.0,8.0,44.0,24.0,4.0,0.0019999984
ERY,NTR,4.0,8.0,30.0,24.0,1.0,0.0035999994
ERY,NTR,4.0,8.0,30.0,24.0,2.0,0.0048999991
ERY,NTR,4.0,8.0,30.0,24.0,3.0,0.0052999983999999995
ERY,NTR,4.0,8.0,30.0,24.0,4.0,0.005799999399999999
GEN,TET,6.0,10.0,37.0,24.0,1.0,0.2966999877
GEN,TET,6.0,10.0,37.0,24.0,2.0,0.3266999888
GEN,TET,6.0,10.0,37.0,24.0,3.0,0.3396000135
GEN,TET,6.0,10.0,37.0,24.0,4.0,0.35779999380000005
GEN,TET,6.0,10.0,22.0,24.0,1.0,0.0077000017
GEN,TET,6.0,10.0,22.0,24.0,2.0,0.0088999997
GEN,TET,6.0,10.0,22.0,24.0,3.0,0.009600000400000001
GEN,TET,6.0,10.0,22.0,24.0,4.0,0.0101999994
GEN,TET,6.0,10.0,41.0,24.0,1.0,0.34330000159999996
GEN,TET,6.0,10.0,41.0,24.0,2.0,0.35160000799999996
GEN,TET,6.0,10.0,41.0,24.0,3.0,0.35300000189999997
GEN,TET,6.0,10.0,41.0,24.0,4.0,0.37760000109999997
GEN,TET,6.0,10.0,25.0,24.0,1.0,0.0617000031
GEN,TET,6.0,10.0,25.0,24.0,2.0,0.09029999550000001
GEN,TET,6.0,10.0,25.0,24.0,3.0,0.1438999939
GEN,TET,6.0,10.0,25.0,24.0,4.0,0.1767999995
GEN,TET,6.0,10.0,46.0,24.0,1.0,0.0024000014000000003
GEN,TET,6.0,10.0,46.0,24.0,2.0,0.0026000011
GEN,TET,6.0,10.0,46.0,24.0,3.0,0.0028000008000000002
GEN,TET,6.0,10.0,46.0,24.0,4.0,0.0035000014
GEN,TET,6.0,10.0,44.0,24.0,1.0,0.0017999987
GEN,TET,6.0,10.0,44.0,24.0,2.0,0.0022000018
GEN,TET,6.0,10.0,44.0,24.0,3.0,0.0022999997
GEN,TET,6.0,10.0,44.0,24.0,4.0,0.0026999991
GEN,TET,6.0,10.0,30.0,24.0,1.0,0.2183999884
GEN,TET,6.0,10.0,30.0,24.0,2.0,0.2681000102
GEN,TET,6.0,10.0,30.0,24.0,3.0,0.2814000118
GEN,TET,6.0,10.0,30.0,24.0,4.0,0.3101999927
STR,WT,9.0,13.0,37.0,24.0,1.0,0.3304999936
STR,WT,9.0,13.0,37.0,24.0,2.0,0.3360000122
STR,WT,9.0,13.0,37.0,24.0,3.0,0.34840001340000004
STR,WT,9.0,13.0,37.0,24.0,4.0,0.35540001270000005
STR,WT,9.0,13.0,22.0,24.0,1.0,0.1302000004
STR,WT,9.0,13.0,22.0,24.0,2.0,0.13169999599999999
STR,WT,9.0,13.0,22.0,24.0,3.0,0.1322000045
STR,WT,9.0,13.0,22.0,24.0,4.0,0.1513
STR,WT,9.0,13.0,41.0,24.0,1.0,0.3631999958
STR,WT,9.0,13.0,41.0,24.0,2.0,0.3717000055
STR,WT,9.0,13.0,41.0,24.0,3.0,0.3780000079
STR,WT,9.0,13.0,41.0,24.0,4.0,0.3956999946
STR,WT,9.0,13.0,25.0,24.0,1.0,0.3216999936
STR,WT,9.0,13.0,25.0,24.0,2.0,0.3234999943
STR,WT,9.0,13.0,25.0,24.0,3.0,0.3311999905
STR,WT,9.0,13.0,25.0,24.0,4.0,0.38050000549999996
STR,WT,9.0,13.0,46.0,24.0,1.0,0.0024000014000000003
STR,WT,9.0,13.0,46.0,24.0,2.0,0.0028000008000000002
STR,WT,9.0,13.0,46.0,24.0,3.0,0.0033000017999999997
STR,WT,9.0,13.0,46.0,24.0,4.0,0.0039999987
STR,WT,9.0,13.0,44.0,24.0,1.0,0.0017000008
STR,WT,9.0,13.0,44.0,24.0,2.0,0.0026000011
STR,WT,9.0,13.0,44.0,24.0,3.0,0.0035000014
STR,WT,9.0,13.0,44.0,24.0,4.0,0.0077000017
STR,WT,9.0,13.0,30.0,24.0,1.0,0.3976000118
STR,WT,9.0,13.0,30.0,24.0,2.0,0.4238000083
STR,WT,9.0,13.0,30.0,24.0,3.0,0.4412000048
STR,WT,9.0,13.0,30.0,24.0,4.0,0.4525999892
AMP,GEN,1.0,6.0,37.0,24.0,1.0,0.09209999619999999
AMP,GEN,1.0,6.0,37.0,24.0,2.0,0.1580999959
AMP,GEN,1.0,6.0,37.0,24.0,3.0,0.17970000390000002
AMP,GEN,1.0,6.0,37.0,24.0,4.0,0.2350000012
AMP,GEN,1.0,6.0,22.0,24.0,1.0,0.0048999991
AMP,GEN,1.0,6.0,22.0,24.0,2.0,0.005599999699999999
AMP,GEN,1.0,6.0,22.0,24.0,3.0,0.005999999000000001
AMP,GEN,1.0,6.0,22.0,24.0,4.0,0.007099999
AMP,GEN,1.0,6.0,41.0,24.0,1.0,0.16110000189999998
AMP,GEN,1.0,6.0,41.0,24.0,2.0,0.1775999981
AMP,GEN,1.0,6.0,41.0,24.0,3.0,0.1938000041
AMP,GEN,1.0,6.0,41.0,24.0,4.0,0.3015999961
AMP,GEN,1.0,6.0,25.0,24.0,1.0,0.005599999699999999
AMP,GEN,1.0,6.0,25.0,24.0,2.0,0.0072000007
AMP,GEN,1.0,6.0,25.0,24.0,3.0,0.0083999987
AMP,GEN,1.0,6.0,25.0,24.0,4.0,0.011499998999999999
AMP,GEN,1.0,6.0,46.0,24.0,1.0,0.0021000001
AMP,GEN,1.0,6.0,46.0,24.0,2.0,0.0022000018
AMP,GEN,1.0,6.0,46.0,24.0,3.0,0.0022999997
AMP,GEN,1.0,6.0,46.0,24.0,4.0,0.0127000007
AMP,GEN,1.0,6.0,44.0,24.0,1.0,0.0011000018
AMP,GEN,1.0,6.0,44.0,24.0,2.0,0.0013999994
AMP,GEN,1.0,6.0,44.0,24.0,3.0,0.0015999991
AMP,GEN,1.0,6.0,44.0,24.0,4.0,0.0019000004000000001
AMP,GEN,1.0,6.0,30.0,24.0,1.0,0.0026000011
AMP,GEN,1.0,6.0,30.0,24.0,2.0,0.075099999
AMP,GEN,1.0,6.0,30.0,24.0,3.0,0.1285000014
AMP,GEN,1.0,6.0,30.0,24.0,4.0,0.3640000093
LVX,WT,7.0,13.0,37.0,24.0,1.0,0.7005000281
LVX,WT,7.0,13.0,37.0,24.0,2.0,0.7497999835
LVX,WT,7.0,13.0,37.0,24.0,3.0,0.7571000028
LVX,WT,7.0,13.0,37.0,24.0,4.0,0.7859000134
LVX,WT,7.0,13.0,22.0,24.0,1.0,0.026699999300000003
LVX,WT,7.0,13.0,22.0,24.0,2.0,0.0614999998
LVX,WT,7.0,13.0,22.0,24.0,3.0,0.0666999984
LVX,WT,7.0,13.0,22.0,24.0,4.0,0.0677000004
LVX,WT,7.0,13.0,41.0,24.0,1.0,0.7364000248999999
LVX,WT,7.0,13.0,41.0,24.0,2.0,0.8291000295000001
LVX,WT,7.0,13.0,41.0,24.0,3.0,0.8444000053
LVX,WT,7.0,13.0,41.0,24.0,4.0,0.868500011
LVX,WT,7.0,13.0,25.0,24.0,1.0,0.2927000093
LVX,WT,7.0,13.0,25.0,24.0,2.0,0.32709999559999997
LVX,WT,7.0,13.0,25.0,24.0,3.0,0.3439000118
LVX,WT,7.0,13.0,25.0,24.0,4.0,0.37480001329999996
LVX,WT,7.0,13.0,46.0,24.0,1.0,0.0021000001
LVX,WT,7.0,13.0,46.0,24.0,2.0,0.0021000001
LVX,WT,7.0,13.0,46.0,24.0,3.0,0.0024999994
LVX,WT,7.0,13.0,46.0,24.0,4.0,0.0032000001
LVX,WT,7.0,13.0,44.0,24.0,1.0,0.1432999986
LVX,WT,7.0,13.0,44.0,24.0,2.0,0.1466999966
LVX,WT,7.0,13.0,44.0,24.0,3.0,0.3361999857
LVX,WT,7.0,13.0,44.0,24.0,4.0,0.39150001289999997
LVX,WT,7.0,13.0,30.0,24.0,1.0,0.5967000294
LVX,WT,7.0,13.0,30.0,24.0,2.0,0.6136999893
LVX,WT,7.0,13.0,30.0,24.0,3.0,0.6307000089
LVX,WT,7.0,13.0,30.0,24.0,4.0,0.6437999772999999
FOX,TET,5.0,10.0,37.0,24.0,1.0,0.5982999969
FOX,TET,5.0,10.0,37.0,24.0,2.0,0.6247000265
FOX,TET,5.0,10.0,37.0,24.0,3.0,0.6289000082
FOX,TET,5.0,10.0,37.0,24.0,4.0,0.6398999858
FOX,TET,5.0,10.0,22.0,24.0,1.0,0.1367000061
FOX,TET,5.0,10.0,22.0,24.0,2.0,0.1575000006
FOX,TET,5.0,10.0,22.0,24.0,3.0,0.17409999850000002
FOX,TET,5.0,10.0,22.0,24.0,4.0,0.17860000010000002
FOX,TET,5.0,10.0,41.0,24.0,1.0,0.5679999757
FOX,TET,5.0,10.0,41.0,24.0,2.0,0.6068999934
FOX,TET,5.0,10.0,41.0,24.0,3.0,0.644899981
FOX,TET,5.0,10.0,41.0,24.0,4.0,0.6527999806
FOX,TET,5.0,10.0,25.0,24.0,1.0,0.4031999874
FOX,TET,5.0,10.0,25.0,24.0,2.0,0.4177999961
FOX,TET,5.0,10.0,25.0,24.0,3.0,0.42240001439999997
FOX,TET,5.0,10.0,25.0,24.0,4.0,0.4236000049
FOX,TET,5.0,10.0,46.0,24.0,1.0,0.0015999991
FOX,TET,5.0,10.0,46.0,24.0,2.0,0.0024000014000000003
FOX,TET,5.0,10.0,46.0,24.0,3.0,0.0030999984
FOX,TET,5.0,10.0,46.0,24.0,4.0,0.0044000018
FOX,TET,5.0,10.0,44.0,24.0,1.0,0.0024999994
FOX,TET,5.0,10.0,44.0,24.0,2.0,0.0033000017999999997
FOX,TET,5.0,10.0,44.0,24.0,3.0,0.0035000014
FOX,TET,5.0,10.0,44.0,24.0,4.0,0.0598000008
FOX,TET,5.0,10.0,30.0,24.0,1.0,0.38300000310000004
FOX,TET,5.0,10.0,30.0,24.0,2.0,0.38709999799999995
FOX,TET,5.0,10.0,30.0,24.0,3.0,0.4150000083
FOX,TET,5.0,10.0,30.0,24.0,4.0,0.4180999863
FOX,NTR,5.0,8.0,37.0,24.0,1.0,0.49100001340000005
FOX,NTR,5.0,8.0,37.0,24.0,2.0,0.5040000248
FOX,NTR,5.0,8.0,37.0,24.0,3.0,0.5152999926
FOX,NTR,5.0,8.0,37.0,24.0,4.0,0.5621000099
FOX,NTR,5.0,8.0,22.0,24.0,1.0,0.0121999997
FOX,NTR,5.0,8.0,22.0,24.0,2.0,0.014999998700000001
FOX,NTR,5.0,8.0,22.0,24.0,3.0,0.015199998300000002
FOX,NTR,5.0,8.0,22.0,24.0,4.0,0.0165000017
FOX,NTR,5.0,8.0,41.0,24.0,1.0,0.4602999854
FOX,NTR,5.0,8.0,41.0,24.0,2.0,0.5083000231
FOX,NTR,5.0,8.0,41.0,24.0,3.0,0.5804000068
FOX,NTR,5.0,8.0,41.0,24.0,4.0,0.5930000114
FOX,NTR,5.0,8.0,25.0,24.0,1.0,0.19069999640000002
FOX,NTR,5.0,8.0,25.0,24.0,2.0,0.21449999690000002
FOX,NTR,5.0,8.0,25.0,24.0,3.0,0.2167999911
FOX,NTR,5.0,8.0,25.0,24.0,4.0,0.24359999780000002
FOX,NTR,5.0,8.0,46.0,24.0,1.0,0.0026000011
FOX,NTR,5.0,8.0,46.0,24.0,2.0,0.0026000011
FOX,NTR,5.0,8.0,46.0,24.0,3.0,0.0037999990999999997
FOX,NTR,5.0,8.0,46.0,24.0,4.0,0.0041000004
FOX,NTR,5.0,8.0,44.0,24.0,1.0,0.0013999994
FOX,NTR,5.0,8.0,44.0,24.0,2.0,0.0024000014000000003
FOX,NTR,5.0,8.0,44.0,24.0,3.0,0.0026000011
FOX,NTR,5.0,8.0,44.0,24.0,4.0,0.0026000011
FOX,NTR,5.0,8.0,30.0,24.0,1.0,0.4139999914
FOX,NTR,5.0,8.0,30.0,24.0,2.0,0.4317000079
FOX,NTR,5.0,8.0,30.0,24.0,3.0,0.47499998090000006
FOX,NTR,5.0,8.0,30.0,24.0,4.0,0.5054999757
STR,TMP,9.0,11.0,37.0,24.0,1.0,0.33900000329999996
STR,TMP,9.0,11.0,37.0,24.0,2.0,0.341500001
STR,TMP,9.0,11.0,37.0,24.0,3.0,0.3696000147
STR,TMP,9.0,11.0,37.0,24.0,4.0,0.4103000033
STR,TMP,9.0,11.0,22.0,24.0,1.0,0.0103000011
STR,TMP,9.0,11.0,22.0,24.0,2.0,0.013400001399999998
STR,TMP,9.0,11.0,22.0,24.0,3.0,0.0142
STR,TMP,9.0,11.0,22.0,24.0,4.0,0.0162000003
STR,TMP,9.0,11.0,41.0,24.0,1.0,0.2419000137
STR,TMP,9.0,11.0,41.0,24.0,2.0,0.2977999914
STR,TMP,9.0,11.0,41.0,24.0,3.0,0.306000011
STR,TMP,9.0,11.0,41.0,24.0,4.0,0.3209000099
STR,TMP,9.0,11.0,25.0,24.0,1.0,0.1337
STR,TMP,9.0,11.0,25.0,24.0,2.0,0.140800001
STR,TMP,9.0,11.0,25.0,24.0,3.0,0.1501999962
STR,TMP,9.0,11.0,25.0,24.0,4.0,0.1626999992
STR,TMP,9.0,11.0,46.0,24.0,1.0,0.0022999997
STR,TMP,9.0,11.0,46.0,24.0,2.0,0.0022999997
STR,TMP,9.0,11.0,46.0,24.0,3.0,0.0024000014000000003
STR,TMP,9.0,11.0,46.0,24.0,4.0,0.0026999991
STR,TMP,9.0,11.0,44.0,24.0,1.0,0.0013000014
STR,TMP,9.0,11.0,44.0,24.0,2.0,0.0013999994
STR,TMP,9.0,11.0,44.0,24.0,3.0,0.0022000018
STR,TMP,9.0,11.0,44.0,24.0,4.0,0.0024000014000000003
STR,TMP,9.0,11.0,30.0,24.0,1.0,0.2322000134
STR,TMP,9.0,11.0,30.0,24.0,2.0,0.2481999862
STR,TMP,9.0,11.0,30.0,24.0,3.0,0.25669999600000004
STR,TMP,9.0,11.0,30.0,24.0,4.0,0.2990000117
CPR,ERY,3.0,4.0,37.0,24.0,1.0,0.33769999619999996
CPR,ERY,3.0,4.0,37.0,24.0,2.0,0.3661999869
CPR,ERY,3.0,4.0,37.0,24.0,3.0,0.372899996
CPR,ERY,3.0,4.0,37.0,24.0,4.0,0.3798000085
CPR,ERY,3.0,4.0,22.0,24.0,1.0,0.0037000010999999997
CPR,ERY,3.0,4.0,22.0,24.0,2.0,0.0041000004
CPR,ERY,3.0,4.0,22.0,24.0,3.0,0.0048000010999999995
CPR,ERY,3.0,4.0,22.0,24.0,4.0,0.0055000018
CPR,ERY,3.0,4.0,41.0,24.0,1.0,0.2848999965
CPR,ERY,3.0,4.0,41.0,24.0,2.0,0.33569999219999996
