drug,Tmin,Tmax,c,sigma2
AMP,20.0,42.334968853907256,0.0005915094544183163,0.008432454200580594
CLI,20.0,43.834366672622465,0.00042432592164695523,0.003373714971068258
CPR,20.0,44.285802751767214,0.00043808699046957216,0.009999999999999998
ERY,20.0,44.19353964269409,0.0002197445434436319,0.009999999999999998
FOX,20.0,44.141260452582074,0.00034016023795435126,0.0013990670517059112
GEN,20.0,42.53335867728054,0.000289551114195426,0.009999999999999998
LVX,20.0,44.2392980923983,0.0004982545348554473,0.002942426706849653
NTR,20.0,44.00001326327403,0.00045200563549523066,0.001893968791715787
STR,20.0,42.365972781244636,0.0003366326622939277,0.00864118498589625
TET,20.0,44.49676335229695,0.00041011209570768876,0.0021696505712748863
TMP,20.0,44.00003367201269,0.00042614701716991245,0.001304801139200291
TOB,20.0,42.343933217644775,0.0003776618079553953,0.0067238342881186155
WT,20.0,44.68879698016801,0.000488561841069402,0.008528997456662187
