drug,Tmin,Tmax,rmax,alpha,beta,sigma2
AMP,20.0,44.000003034430364,0.7567625979201507,0.6420374221138132,0.43753884148605304,0.0009131638877463554
CLI,20.0,44.00003127024688,0.6612232285176136,0.76537045966694,0.3874820822799192,0.002158055486745739
CPR,20.0,44.19526327974391,0.8458806411826462,0.7950248863992044,0.2432397868475515,0.001969088122873936
ERY,20.0,60.0,0.5145083319560724,0.4656999985788241,0.09731253370537815,0.005200085264701565
FOX,20.0,44.000000830606396,0.5586240650746725,0.8800685327948135,0.35239547410630717,0.0005166976466115144
GEN,20.0,44.00000013142055,0.3588053344533788,0.5747565877076424,0.6179109182399789,0.001757347781044811
LVX,20.0,44.02638128629228,0.8235605932184278,0.7884281381470389,0.3628606147880221,0.0017856051906202882
NTR,20.0,44.00000108610371,0.7685431621863259,0.7691259230492294,0.313967647513928,0.0008120061783593105
STR,20.0,44.00001526285621,0.42523030695600356,0.6042592076883949,0.5008029972789544,0.001711083105992187
TET,20.0,44.00138922141363,0.7127068017922502,0.8724082630340291,0.3312314322932819,0.0012588517776710526
TMP,20.0,43.9999781272778,0.6806823350421821,0.7819579877586691,0.37713015907242586,0.0003283310197663321
TOB,20.0,44.00000570330204,0.4767445246834983,0.6243770589980127,0.4730425076994136,0.0008835397254330369
WT,20.0,44.003304319285014,0.7939726180390566,0.8527138253160125,0.4369188114722715,0.0002832313167968713
