drug,Tmin,Tmax,c,a,b,sigma2
AMP,20.0,44.00000770173526,1.3843557098294466,1.7029205637039158,1.4557301176515867,0.0009366885954358948
CLI,20.0,44.00007929349079,1.1157931681263675,1.8698397268822813,1.3053671536033056,0.002154821072657153
CPR,20.0,44.234192475998725,2.0482053947835706,2.904783707271466,1.6164689776601069,0.0021817161779835057
ERY,20.0,60.0,30.378765732381602,5.3948388571807495,45.3135786473315,0.006354793050523564
FOX,20.0,44.00000544151072,0.738853380678266,1.7399989816924575,1.1165754194474689,0.0005005543420328484
GEN,20.0,44.00000080591306,0.5460058952379949,1.375087288590327,1.3019961477907431,0.00986731102219269
LVX,20.0,44.028861716871845,1.355147063851868,1.9305015226462,1.2753785206971187,0.001926657997858486
NTR,20.0,44.00000287817166,1.5351577326013988,2.262388408916684,1.4455379273255708,0.001025456128601818
STR,20.0,44.00001828918214,0.6984061938294415,1.522593942791696,1.3831797089504474,0.0017786623589731787
TET,20.0,44.00081135870827,0.9981204195403706,1.8962676622824506,1.1255477659367477,0.004998492818665737
TMP,20.0,43.999996264268944,1.1115087709983973,1.879398439127029,1.2738129753269716,0.00037688533356670045
TOB,20.0,44.000009742221195,0.8153208554322797,1.5934742419719474,1.4043137730659776,0.0009442380993139358
WT,20.0,44.00513011227113,1.0136576549193212,1.5517108858064437,1.1035277504106582,0.00028540746386195135
