,species,strain,X,Y,psychro,T,r
0,Arthrobacter glacialis,137,3.45746708689621,3.7613693747476,True,16.0,0.04300727875530385
1,Arthrobacter glacialis,137,3.48246032693625,3.98573964497042,True,14.0,0.05382508621264768
2,Arthrobacter glacialis,137,3.50101847137113,3.97321458044353,True,12.0,0.05315512792844987
3,Arthrobacter glacialis,137,3.52788146366302,3.8584125506997,True,10.0,0.04739006230463138
4,Arthrobacter glacialis,137,3.56560267237898,3.59657138342142,True,7.0,0.03647296799833644
5,Arthrobacter glacialis,137,3.60396293434938,3.32833968359876,True,4.0,0.02789199370310267
6,Arthrobacter glacialis,137,3.65509572805647,2.87469720646849,True,0.0,0.017720057790180592
7,Arthrobacter glacialis,158,3.4081689638825,3.63903903218443,True,20.0,0.038055249278764886
8,Arthrobacter glacialis,158,3.43188599371411,3.88899039558935,True,18.0,0.04886153079604127
9,Arthrobacter glacialis,158,3.45749647955332,3.95976981019437,True,16.0,0.05244525219711558
10,Arthrobacter glacialis,158,3.47094314610293,4.00476902006918,True,15.0,0.054859151572507044
11,Arthrobacter glacialis,158,3.49270509016206,4.01789141924043,True,13.0,0.055583779286475773
12,Arthrobacter glacialis,158,3.52853189472021,3.92882218671536,True,10.0,0.05084705405096596
13,Arthrobacter glacialis,158,3.56754163959756,3.7246001088617,True,7.0,0.041454652081812766
14,Arthrobacter glacialis,158,3.60782285393219,3.46279686759258,True,4.0,0.031906088944919656
15,Arthrobacter glacialis,158,3.63723162958931,3.25203255315787,True,2.0,0.025842813463605317
16,Arthrobacter sp,55,3.25413721840816,5.04475708039963,False,34.0,0.155206591895346
17,Arthrobacter sp,55,3.27601104419434,5.81308113707794,False,32.0,0.33464863715112075
18,Arthrobacter sp,55,3.30162532263445,5.90946060786965,False,30.0,0.36850733183747303
19,Arthrobacter sp,55,3.32275674679121,5.9865736660053,False,28.0,0.3980484239124874
20,Arthrobacter sp,55,3.36370356258669,5.89758028549857,False,24.0,0.36415524919986947
21,Arthrobacter sp,55,3.41167617158007,5.71269099081699,False,20.0,0.30268449452586516
22,Arthrobacter sp,55,3.46091456112935,5.43182044843994,False,16.0,0.2285649576384288
23,Arthrobacter sp,55,3.50054629255702,5.10600758520183,False,13.0,0.1650102486829824
24,Arthrobacter sp,55,3.54974011904553,4.5243363826313,False,9.0,0.09223469696773254
25,Arthrobacter sp,55,3.60594836092919,3.76996909732587,False,4.0,0.043378724296557494
26,Arthrobacter sp,55,3.65703374712482,2.9963259178621,False,0.0,0.020011876410995284
27,Arthrobacter sp,60,3.25859921338648,4.92322318402894,False,34.0,0.13744491024069977
28,Arthrobacter sp,60,3.2779234632065,5.76190946921146,False,32.0,0.3179548746871709
29,Arthrobacter sp,60,3.32274631713869,5.91617351149193,False,28.0,0.37098940768735955
30,Arthrobacter sp,60,3.36304744262813,5.78877056520289,False,24.0,0.32661123022515987
31,Arthrobacter sp,60,3.4103591909118,5.46307147999227,False,20.0,0.23582063148995694
32,Arthrobacter sp,60,3.46088327217179,5.22061998489983,False,16.0,0.18504887602223494
33,Arthrobacter sp,60,3.49987784664548,4.91399768229944,False,13.0,0.13618274299849728
34,Arthrobacter sp,60,3.54909348058926,4.47952680280231,False,9.0,0.08819293015280356
35,Arthrobacter sp,60,3.60657982898179,3.71237845240813,False,4.0,0.04095109100889898
36,Pseudomonas,76,3.25284583779608,4.967937948835,False,34.0,0.1437302025547871
37,Pseudomonas,76,3.27665578635015,5.84509068881358,False,32.0,0.34553387641751293
38,Pseudomonas,76,3.30229187224554,6.0886704826787,False,30.0,0.4408349236928637
39,Pseudomonas,76,3.32150708478921,6.19135515249416,False,28.0,0.4885076602340911
40,Pseudomonas,76,3.351601373062,6.28780099380191,False,25.0,0.5379690301898057
41,Pseudomonas,76,3.4110684072832,5.93028198690148,False,20.0,0.37626059942724244
42,Pseudomonas,76,3.53125687847875,5.04246255684512,False,10.0,0.1548508749709238
43,Pseudomonas,76,3.59071158674697,4.60174336733798,False,5.0,0.0996579046191757
44,Pseudomonas,76,3.62774443839657,4.01349200217724,False,3.0,0.05533978017991017
